# atlas	1024	2048	50
32	2	2	1	1	0	-27.2	0	0	23
33	29	2	4	19	0	-7.200001	4	-20	8
34	56	2	12	8	0	-7.200001	12	-9	16
35	83	2	20	20	0	-7.200001	20	-20	23
36	110	2	20	27	0	-3.200001	20	-28	23
37	137	2	20	19	0	-7.200001	20	-20	23
38	164	2	20	27	0	-3.200001	20	-28	23
39	191	2	4	8	0	-7.200001	4	-9	8
40	218	2	8	19	0	-7.200001	8	-20	12
41	245	2	8	19	0	-7.200001	8	-20	12
42	272	2	20	11	0	-7.200001	20	-13	23
43	299	2	20	19	0	-7.200001	20	-20	23
44	326	2	4	8	0	-23.2	4	-8	8
45	353	2	19	4	0	-15.2	20	-5	23
46	380	2	4	4	0	-23.2	4	-4	8
47	407	2	20	19	0	-7.200001	20	-20	23
48	434	2	20	19	0	-7.200001	20	-20	23
49	461	2	8	19	0	-7.200001	8	-20	12
50	488	2	20	19	0	-7.200001	20	-20	23
51	515	2	20	19	0	-7.200001	20	-20	23
52	542	2	20	20	0	-7.200001	20	-20	23
53	569	2	20	19	0	-7.200001	20	-20	23
54	596	2	20	19	0	-7.200001	20	-20	23
55	623	2	20	19	0	-7.200001	20	-20	23
56	650	2	20	19	0	-7.200001	20	-20	23
57	677	2	20	19	0	-7.200001	20	-20	23
58	704	2	4	19	0	-7.200001	4	-20	8
59	731	2	4	23	0	-7.200001	4	-24	8
60	758	2	12	19	0	-7.200001	12	-20	16
61	785	2	19	12	0	-11.2	20	-13	23
62	812	2	12	19	0	-7.200001	12	-20	16
63	839	2	20	19	0	-7.200001	20	-20	23
64	2	33	20	19	0	-7.200001	20	-20	23
65	29	33	20	19	0	-7.200001	20	-20	23
66	56	33	20	19	0	-7.200001	20	-20	23
67	83	33	20	19	0	-7.200001	20	-20	23
68	110	33	20	19	0	-7.200001	20	-20	23
69	137	33	20	19	0	-7.200001	20	-20	23
70	164	33	20	19	0	-7.200001	20	-20	23
71	191	33	20	19	0	-7.200001	20	-20	23
72	218	33	20	20	0	-7.200001	20	-20	23
73	245	33	20	19	0	-7.200001	20	-20	23
74	272	33	20	19	0	-7.200001	20	-20	23
75	299	33	20	20	0	-7.200001	20	-20	23
76	326	33	20	19	0	-7.200001	20	-20	23
77	353	33	20	20	0	-7.200001	20	-20	23
78	380	33	20	20	0	-7.200001	20	-20	23
79	407	33	20	19	0	-7.200001	20	-20	23
80	434	33	20	19	0	-7.200001	20	-20	23
81	461	33	20	23	0	-7.200001	20	-24	23
82	488	33	20	19	0	-7.200001	20	-20	23
83	515	33	20	19	0	-7.200001	20	-20	23
84	542	33	20	19	0	-7.200001	20	-20	23
85	569	33	20	20	0	-7.200001	20	-20	23
86	596	33	20	20	0	-7.200001	20	-20	23
87	623	33	20	20	0	-7.200001	20	-20	23
88	650	33	20	19	0	-7.200001	20	-20	23
89	677	33	20	20	0	-7.200001	20	-20	23
90	704	33	20	20	0	-7.200001	20	-20	23
91	731	33	8	19	0	-7.200001	8	-20	12
92	758	33	20	19	0	-7.200001	20	-20	23
93	785	33	8	19	0	-7.200001	8	-20	12
94	812	33	12	7	0	-7.200001	12	-9	16
95	839	33	19	4	0	-30.2	20	-5	23
96	2	64	4	8	0	-7.200001	4	-9	8
97	29	64	20	19	0	-7.200001	20	-20	23
98	56	64	20	20	0	-7.200001	20	-20	23
99	83	64	20	19	0	-7.200001	20	-20	23
100	110	64	20	19	0	-7.200001	20	-20	23
101	137	64	20	19	0	-7.200001	20	-20	23
102	164	64	20	19	0	-7.200001	20	-20	23
103	191	64	20	19	0	-7.200001	20	-20	23
104	218	64	20	20	0	-7.200001	20	-20	23
105	245	64	4	19	0	-7.200001	4	-20	8
106	272	64	19	19	0	-7.200001	20	-20	23
107	299	64	20	20	0	-7.200001	20	-20	23
108	326	64	20	19	0	-7.200001	20	-20	23
109	353	64	19	19	0	-7.200001	20	-20	23
110	380	64	20	19	0	-7.200001	20	-20	23
111	407	64	20	19	0	-7.200001	20	-20	23
112	434	64	20	19	0	-7.200001	20	-20	23
113	461	64	20	23	0	-7.200001	20	-24	23
114	488	64	20	19	0	-7.200001	20	-20	23
115	515	64	20	19	0	-7.200001	20	-20	23
116	542	64	20	19	0	-7.200001	20	-20	23
117	569	64	20	20	0	-7.200001	20	-20	23
118	596	64	20	20	0	-7.200001	20	-20	23
119	623	64	20	20	0	-7.200001	20	-20	23
120	650	64	20	19	0	-7.200001	20	-20	23
121	677	64	20	20	0	-7.200001	20	-20	23
122	704	64	20	20	0	-7.200001	20	-20	23
123	731	64	12	19	0	-7.200001	12	-20	16
124	758	64	4	27	0	-3.200001	4	-28	8
125	785	64	12	19	0	-7.200001	12	-20	16
126	812	64	20	12	0	-11.2	20	-13	23
36187	839	64	23	21	0	-6.7	23	-21	26
21338	2	95	23	21	0	-6.7	23	-21	26
40736	29	95	23	21	0	-6.7	23	-21	26
32764	56	95	23	21	0	-6.7	23	-21	26
20379	83	95	23	21	0	-6.7	23	-21	26
23376	110	95	23	21	0	-6.7	23	-21	26
31243	137	95	23	21	0	-6.7	23	-21	26
24207	164	95	23	21	0	-6.7	23	-21	26
20449	191	95	23	21	0	-6.7	23	-21	26
20351	218	95	23	21	0	-6.7	23	-21	26
29992	245	95	23	21	0	-6.7	23	-21	26
19981	272	95	23	21	0	-6.7	23	-21	26
36896	299	95	23	21	0	-6.7	23	-21	26
25104	326	95	23	21	0	-6.7	23	-21	26
20260	353	95	23	21	0	-6.7	23	-21	26
23475	380	95	23	21	0	-6.7	23	-21	26
20294	407	95	23	21	0	-6.7	23	-21	26
33021	434	95	23	21	0	-6.7	23	-21	26
24110	461	95	23	21	0	-6.7	23	-21	26
21161	488	95	23	21	0	-6.7	23	-21	26
20320	515	95	23	21	0	-6.7	23	-21	26
24555	542	95	23	21	0	-6.7	23	-21	26
36895	569	95	23	21	0	-6.7	23	-21	26
33073	596	95	23	21	0	-6.7	23	-21	26
36523	623	95	23	21	0	-6.7	23	-21	26
29190	650	95	23	21	0	-6.7	23	-21	26
24377	677	95	23	21	0	-6.7	23	-21	26
22836	704	95	23	21	0	-6.7	23	-21	26
37096	731	95	23	21	0	-6.7	23	-21	26
36825	758	95	23	21	0	-6.7	23	-21	26
20010	785	95	23	21	0	-6.7	23	-21	26
20869	812	95	23	21	0	-6.7	23	-21	26
32622	839	95	23	21	0	-6.7	23	-21	26
20102	2	126	23	21	0	-6.7	23	-21	26
22320	29	126	23	21	0	-6.7	23	-21	26
38647	56	126	23	21	0	-6.7	23	-21	26
32626	83	126	23	21	0	-6.7	23	-21	26
31995	110	126	23	21	0	-6.7	23	-21	26
32479	137	126	23	21	0	-6.7	23	-21	26
24040	164	126	21	21	0	-6.7	21	-21	24
25331	191	126	23	21	0	-6.7	23	-21	26
25163	218	126	23	21	0	-6.7	23	-21	26
33218	245	126	23	21	0	-6.7	23	-21	26
26631	272	126	23	21	0	-6.7	23	-21	26
20934	299	126	23	21	0	-6.7	23	-21	26
30340	326	126	23	21	0	-6.7	23	-21	26
25112	353	126	23	21	0	-6.7	23	-21	26
22763	380	126	23	21	0	-6.7	23	-21	26
38646	407	126	23	21	0	-6.7	23	-21	26
20214	434	126	23	21	0	-6.7	23	-21	26
21170	461	126	23	21	0	-6.7	23	-21	26
21313	488	126	23	21	0	-6.7	23	-21	26
36275	515	126	23	21	0	-6.7	23	-21	26
22411	542	126	23	21	0	-6.7	23	-21	26
26680	569	126	23	21	0	-6.7	23	-21	26
24515	596	126	23	21	0	-6.7	23	-21	26
20026	623	126	23	21	0	-6.7	23	-21	26
26007	650	126	23	21	0	-6.7	23	-21	26
25552	677	126	23	21	0	-6.7	23	-21	26
20445	704	126	23	21	0	-6.7	23	-21	26
25252	731	126	23	21	0	-6.7	23	-21	26
38180	758	126	23	21	0	-6.7	23	-21	26
30828	785	126	23	21	0	-6.7	23	-21	26
33041	812	126	23	21	0	-6.7	23	-21	26
22771	839	126	23	21	0	-6.7	23	-21	26
35774	2	157	23	21	0	-6.7	23	-21	26
35745	29	157	23	21	0	-6.7	23	-21	26
32039	56	157	23	21	0	-6.7	23	-21	26
20945	83	157	23	21	0	-6.7	23	-21	26
33136	110	157	23	21	0	-6.7	23	-21	26
38750	137	157	23	21	0	-6.7	23	-21	26
24120	164	157	23	21	0	-6.7	23	-21	26
28526	191	157	23	21	0	-6.7	23	-21	26
33151	218	157	23	21	0	-6.7	23	-21	26
35265	245	157	23	21	0	-6.7	23	-21	26
20110	272	157	23	21	0	-6.7	23	-21	26
22833	299	157	23	21	0	-6.7	23	-21	26
33853	326	157	23	21	0	-6.7	23	-21	26
37117	353	157	23	21	0	-6.7	23	-21	26
22478	380	157	23	21	0	-6.7	23	-21	26
32937	407	157	23	21	0	-6.7	23	-21	26
